second,scheduled_qps,sent,ok,dropped,timeouts,avg_latency_ms,p50_latency_ms,p99_latency_ms,throughput_rps,replicas,cpu_cores
114,8,8,8,0,0,110.34,109.68,158.92,8,7.0,7.0000
115,8,8,8,0,0,109.15,120.89,126.28,8,7.0,7.0000
116,6,6,6,0,0,92.91,88.02,118.11,6,7.0,7.0000
117,7,7,7,0,0,120.07,123.04,166.05,7,7.0,7.0000
118,8,8,8,0,0,97.60,102.40,122.31,8,7.0,7.0000
119,7,7,7,0,0,106.24,102.18,164.02,7,7.0,7.0000
120,10,10,10,0,0,80.83,71.55,143.84,10,7.0,7.0000
121,6,6,6,0,0,97.82,111.74,121.28,6,7.0,7.0000
122,8,8,8,0,0,109.07,124.86,129.53,8,7.0,7.0000
123,7,7,7,0,0,97.38,106.28,125.75,7,7.0,7.0000
124,8,8,8,0,0,104.79,104.75,136.79,8,7.0,7.0000
125,6,6,6,0,0,98.43,113.79,133.34,6,7.0,7.0000
126,6,6,6,0,0,109.41,119.64,126.94,6,7.0,7.0000
127,7,7,7,0,0,93.14,95.68,127.18,7,7.0,7.0000
128,7,7,7,0,0,89.03,91.30,123.03,7,7.0,7.0000
129,9,9,9,0,0,99.34,94.68,122.34,9,7.0,7.0000
130,6,6,6,0,0,93.91,110.76,128.15,6,7.0,7.0000
131,7,7,7,0,0,96.32,105.57,127.51,7,7.0,7.0000
132,9,9,9,0,0,103.09,104.72,165.81,9,7.0,7.0000
133,8,8,8,0,0,96.66,102.77,118.49,8,7.0,7.0000
134,7,7,7,0,0,97.00,116.93,128.20,7,7.0,7.0000
135,7,7,7,0,0,104.41,117.09,123.56,7,7.0,7.0000
136,8,8,8,0,0,96.46,113.50,118.08,8,7.0,7.0000
137,6,6,6,0,0,91.61,101.60,131.16,6,7.0,7.0000
138,5,5,5,0,0,130.17,132.68,142.20,5,7.0,7.0000
139,6,6,6,0,0,93.68,97.07,127.53,6,7.0,7.0000
140,8,8,8,0,0,87.29,108.62,115.92,8,7.0,7.0000
141,7,7,7,0,0,101.12,119.46,126.60,7,7.0,7.0000
142,8,8,8,0,0,87.75,86.10,141.90,8,7.0,7.0000
143,6,6,6,0,0,103.76,105.31,133.07,6,7.0,7.0000
144,7,7,7,0,0,108.06,116.96,128.89,7,7.0,7.0000
145,6,6,6,0,0,98.81,118.29,128.71,6,7.0,7.0000
146,8,8,8,0,0,113.59,108.99,161.84,8,7.0,7.0000
147,6,6,6,0,0,124.16,127.78,180.80,6,7.0,7.0000
148,6,6,6,0,0,99.11,125.34,132.04,6,7.0,7.0000
149,9,9,9,0,0,89.85,98.98,114.03,9,7.0,7.0000
150,6,6,6,0,0,101.45,106.87,119.63,6,7.0,7.0000
151,9,9,9,0,0,111.18,116.30,168.48,9,7.0,7.0000
152,8,8,8,0,0,101.64,110.39,141.42,8,7.0,7.0000
153,9,9,9,0,0,101.63,105.17,121.00,9,7.0,7.0000
154,7,7,7,0,0,92.53,100.55,125.67,7,7.0,7.0000
155,6,6,6,0,0,98.42,106.16,128.77,6,7.0,7.0000
156,9,9,9,0,0,91.58,101.62,121.40,9,7.0,7.0000
157,8,8,8,0,0,109.25,115.46,160.18,8,7.0,7.0000
158,8,8,8,0,0,90.25,89.46,123.44,8,7.0,7.0000
159,10,10,10,0,0,101.94,105.23,115.36,10,7.0,7.0000
160,7,7,7,0,0,103.95,117.59,125.71,7,7.0,7.0000
161,8,8,8,0,0,97.64,97.93,149.94,8,7.0,7.0000
162,7,7,7,0,0,99.78,118.35,130.11,7,7.0,7.0000
163,6,6,6,0,0,104.85,123.48,124.05,6,7.0,7.0000
