second,sent_at,latency_ms,status,status_code
0,1781547922.962,127.14,ok,200
0,1781547923.106,81.67,ok,200
0,1781547923.249,128.67,ok,200
0,1781547923.392,98.85,ok,200
0,1781547923.535,137.98,ok,200
0,1781547923.677,107.58,ok,200
0,1781547923.820,158.21,ok,200
1,1781547923.990,89.06,ok,200
1,1781547924.158,122.86,ok,200
1,1781547924.325,65.72,ok,200
1,1781547924.492,85.71,ok,200
1,1781547924.658,121.61,ok,200
1,1781547924.824,142.52,ok,200
2,1781547924.995,78.05,ok,200
2,1781547925.139,117.07,ok,200
2,1781547925.282,96.76,ok,200
2,1781547925.427,130.19,ok,200
2,1781547925.568,103.06,ok,200
2,1781547925.710,66.24,ok,200
2,1781547925.853,119.27,ok,200
3,1781547925.989,89.19,ok,200
3,1781547926.156,114.13,ok,200
3,1781547926.323,54.47,ok,200
3,1781547926.490,85.03,ok,200
3,1781547926.656,124.68,ok,200
3,1781547926.823,145.57,ok,200
4,1781547926.999,76.38,ok,200
4,1781547927.143,123.41,ok,200
4,1781547927.286,168.22,ok,200
4,1781547927.429,140.68,ok,200
4,1781547927.571,106.22,ok,200
4,1781547927.715,152.72,ok,200
4,1781547927.857,121.76,ok,200
5,1781547927.995,172.13,ok,200
5,1781547928.121,153.17,ok,200
5,1781547928.246,208.08,ok,200
5,1781547928.371,201.76,ok,200
5,1781547928.496,259.70,ok,200
5,1781547928.621,257.62,ok,200
5,1781547928.746,320.75,ok,200
5,1781547928.871,308.28,ok,200
6,1781547929.192,175.94,ok,200
6,1781547929.336,141.09,ok,200
6,1781547929.477,189.82,ok,200
6,1781547929.621,159.52,ok,200
6,1781547929.764,212.37,ok,200
6,1781547929.907,175.96,ok,200
6,1781547930.049,227.79,ok,200
7,1781547930.287,98.33,ok,200
7,1781547930.430,146.30,ok,200
7,1781547930.573,110.96,ok,200
7,1781547930.716,157.92,ok,200
7,1781547930.859,128.51,ok,200
7,1781547931.002,179.13,ok,200
7,1781547931.145,222.46,ok,200
8,1781547931.384,95.54,ok,200
8,1781547931.528,56.78,ok,200
8,1781547931.671,105.92,ok,200
8,1781547931.814,66.83,ok,200
8,1781547931.957,120.85,ok,200
8,1781547932.099,87.93,ok,200
8,1781547932.242,137.63,ok,200
9,1781547932.395,89.19,ok,200
9,1781547932.521,155.00,ok,200
9,1781547932.646,139.50,ok,200
9,1781547932.771,206.30,ok,200
9,1781547932.896,270.16,ok,200
9,1781547933.021,261.11,ok,200
9,1781547933.146,322.88,ok,200
9,1781547933.271,311.08,ok,200
10,1781547933.592,178.44,ok,200
10,1781547933.760,118.33,ok,200
10,1781547933.926,143.68,ok,200
10,1781547934.093,86.51,ok,200
10,1781547934.260,115.47,ok,200
10,1781547934.427,152.08,ok,200
11,1781547934.599,83.13,ok,200
11,1781547934.711,164.27,ok,200
11,1781547934.822,159.13,ok,200
11,1781547934.933,238.84,ok,200
11,1781547935.045,240.98,ok,200
11,1781547935.156,316.09,ok,200
11,1781547935.267,314.61,ok,200
11,1781547935.378,389.28,ok,200
11,1781547935.489,392.29,ok,200
12,1781547935.897,171.72,ok,200
12,1781547936.008,168.69,ok,200
12,1781547936.119,160.12,ok,200
12,1781547936.231,233.27,ok,200
12,1781547936.342,227.78,ok,200
12,1781547936.453,225.82,ok,200
12,1781547936.564,221.09,ok,200
12,1781547936.675,289.58,ok,200
12,1781547936.786,286.29,ok,200
13,1781547937.084,95.16,ok,200
13,1781547937.228,56.74,ok,200
13,1781547937.371,100.78,ok,200
13,1781547937.514,61.27,ok,200
13,1781547937.657,110.47,ok,200
13,1781547937.800,74.39,ok,200
13,1781547937.942,31.62,ok,200
14,1781547938.087,92.70,ok,200
14,1781547938.231,125.90,ok,200
14,1781547938.374,95.59,ok,200
14,1781547938.516,67.10,ok,200
14,1781547938.660,119.03,ok,200
14,1781547938.803,82.17,ok,200
14,1781547938.945,133.00,ok,200
15,1781547939.088,97.20,ok,200
15,1781547939.199,175.02,ok,200
15,1781547939.311,170.68,ok,200
15,1781547939.422,252.31,ok,200
15,1781547939.533,335.46,ok,200
15,1781547939.644,335.35,ok,200
15,1781547939.755,416.65,ok,200
15,1781547939.867,416.98,ok,200
15,1781547939.978,494.46,ok,200
16,1781547940.484,95.10,ok,200
16,1781547940.628,141.62,ok,200
16,1781547940.769,110.83,ok,200
16,1781547940.913,155.10,ok,200
16,1781547941.056,125.49,ok,200
16,1781547941.199,171.59,ok,200
16,1781547941.342,137.04,ok,200
17,1781547941.494,172.63,ok,200
17,1781547941.638,141.44,ok,200
17,1781547941.779,186.90,ok,200
17,1781547941.923,156.98,ok,200
17,1781547942.066,202.11,ok,200
17,1781547942.209,166.40,ok,200
17,1781547942.352,128.57,ok,200
18,1781547942.495,90.91,ok,200
18,1781547942.621,149.88,ok,200
18,1781547942.746,143.02,ok,200
18,1781547942.871,205.95,ok,200
18,1781547942.996,271.22,ok,200
18,1781547943.121,260.23,ok,200
18,1781547943.246,322.64,ok,200
18,1781547943.371,312.74,ok,200
19,1781547943.696,177.26,ok,200
19,1781547943.822,163.15,ok,200
19,1781547943.947,232.42,ok,200
19,1781547944.072,294.52,ok,200
19,1781547944.197,279.24,ok,200
19,1781547944.322,345.55,ok,200
19,1781547944.446,333.35,ok,200
19,1781547944.572,401.00,ok,200
20,1781547944.989,166.41,ok,200
20,1781547945.115,159.14,ok,200
20,1781547945.240,226.96,ok,200
20,1781547945.365,212.63,ok,200
20,1781547945.490,281.17,ok,200
20,1781547945.615,341.06,ok,200
20,1781547945.740,330.52,ok,200
20,1781547945.865,308.96,ok,200
21,1781547946.185,95.78,ok,200
21,1781547946.328,128.28,ok,200
21,1781547946.472,97.78,ok,200
21,1781547946.615,67.61,ok,200
21,1781547946.758,113.87,ok,200
21,1781547946.901,74.80,ok,200
21,1781547947.043,112.49,ok,200
22,1781547947.185,86.04,ok,200
22,1781547947.352,116.21,ok,200
22,1781547947.519,55.88,ok,200
22,1781547947.686,86.58,ok,200
22,1781547947.852,119.37,ok,200
22,1781547948.019,58.69,ok,200
23,1781547948.188,81.86,ok,200
23,1781547948.331,43.16,ok,200
23,1781547948.475,101.47,ok,200
23,1781547948.618,63.10,ok,200
23,1781547948.761,117.09,ok,200
23,1781547948.904,165.20,ok,200
23,1781547949.046,133.07,ok,200
24,1781547949.191,183.92,ok,200
24,1781547949.391,89.47,ok,200
24,1781547949.592,86.00,ok,200
24,1781547949.791,87.53,ok,200
24,1781547949.992,86.05,ok,200
25,1781547950.198,76.29,ok,200
25,1781547950.342,128.03,ok,200
25,1781547950.485,95.08,ok,200
25,1781547950.627,145.16,ok,200
25,1781547950.770,109.46,ok,200
25,1781547950.913,157.18,ok,200
25,1781547951.056,132.10,ok,200
26,1781547951.202,169.85,ok,200
26,1781547951.328,152.57,ok,200
26,1781547951.453,217.72,ok,200
26,1781547951.578,203.60,ok,200
26,1781547951.703,272.21,ok,200
26,1781547951.828,455.68,ok,200
26,1781547951.952,330.17,ok,200
26,1781547952.078,392.83,ok,200
27,1781547952.483,96.64,ok,200
27,1781547952.584,188.53,ok,200
27,1781547952.685,270.13,ok,200
27,1781547952.784,397.38,ok,200
27,1781547952.884,297.36,ok,200
27,1781547952.985,391.15,ok,200
27,1781547953.085,593.41,ok,200
27,1781547953.184,493.67,ok,200
27,1781547953.285,582.71,ok,200
27,1781547953.385,600.39,ok,200
28,1781547953.996,174.14,ok,200
28,1781547954.140,140.24,ok,200
28,1781547954.282,190.58,ok,200
28,1781547954.426,159.17,ok,200
28,1781547954.569,209.77,ok,200
28,1781547954.712,258.92,ok,200
28,1781547954.855,225.06,ok,200
29,1781547955.093,180.39,ok,200
29,1781547955.294,88.61,ok,200
29,1781547955.494,81.91,ok,200
29,1781547955.694,81.44,ok,200
29,1781547955.894,82.76,ok,200
30,1781547956.094,75.78,ok,200
30,1781547956.219,54.71,ok,200
30,1781547956.345,119.52,ok,200
30,1781547956.469,99.95,ok,200
30,1781547956.595,82.24,ok,200
30,1781547956.719,70.65,ok,200
30,1781547956.844,110.46,ok,200
30,1781547956.970,102.51,ok,200
31,1781547957.090,87.90,ok,200
31,1781547957.234,47.19,ok,200
31,1781547957.377,94.09,ok,200
31,1781547957.520,57.17,ok,200
31,1781547957.663,107.58,ok,200
31,1781547957.805,71.79,ok,200
31,1781547957.949,115.62,ok,200
32,1781547958.094,76.81,ok,200
32,1781547958.220,53.21,ok,200
32,1781547958.344,121.64,ok,200
32,1781547958.470,107.33,ok,200
32,1781547958.595,166.60,ok,200
32,1781547958.720,155.01,ok,200
32,1781547958.845,220.48,ok,200
32,1781547958.970,208.19,ok,200
33,1781547959.193,175.82,ok,200
33,1781547959.360,116.67,ok,200
33,1781547959.526,63.89,ok,200
33,1781547959.694,82.04,ok,200
33,1781547959.860,117.35,ok,200
33,1781547960.027,150.17,ok,200
34,1781547960.195,96.19,ok,200
34,1781547960.320,155.84,ok,200
34,1781547960.446,135.79,ok,200
34,1781547960.571,200.24,ok,200
34,1781547960.696,185.64,ok,200
34,1781547960.821,252.25,ok,200
34,1781547960.946,241.26,ok,200
34,1781547961.071,306.45,ok,200
35,1781547961.393,92.55,ok,200
35,1781547961.560,114.36,ok,200
35,1781547961.727,140.12,ok,200
35,1781547961.893,83.37,ok,200
35,1781547962.060,116.81,ok,200
35,1781547962.227,128.73,ok,200
36,1781547962.394,81.23,ok,200
36,1781547962.538,121.13,ok,200
36,1781547962.681,95.44,ok,200
36,1781547962.824,134.67,ok,200
36,1781547962.966,113.56,ok,200
36,1781547963.109,72.28,ok,200
36,1781547963.252,120.76,ok,200
37,1781547963.394,84.97,ok,200
37,1781547963.520,149.76,ok,200
37,1781547963.645,129.41,ok,200
37,1781547963.770,184.39,ok,200
37,1781547963.895,180.24,ok,200
37,1781547964.020,245.08,ok,200
37,1781547964.145,234.95,ok,200
37,1781547964.270,298.25,ok,200
38,1781547964.582,105.28,ok,200
38,1781547964.749,126.79,ok,200
38,1781547964.917,161.90,ok,200
38,1781547965.083,183.52,ok,200
38,1781547965.250,127.64,ok,200
38,1781547965.416,151.58,ok,200
39,1781547965.586,92.64,ok,200
39,1781547965.712,71.04,ok,200
39,1781547965.837,136.30,ok,200
39,1781547965.962,117.86,ok,200
39,1781547966.086,94.08,ok,200
39,1781547966.212,123.44,ok,200
39,1781547966.336,106.59,ok,200
39,1781547966.462,87.12,ok,200
40,1781547966.581,91.06,ok,200
40,1781547966.724,150.35,ok,200
40,1781547966.867,71.93,ok,200
40,1781547967.011,59.87,ok,200
40,1781547967.154,113.74,ok,200
40,1781547967.295,142.87,ok,200
40,1781547967.439,116.68,ok,200
41,1781547967.585,85.32,ok,200
41,1781547967.729,108.73,ok,200
41,1781547967.871,98.67,ok,200
41,1781547968.015,59.66,ok,200
