second,sent_at,latency_ms,status,status_code
0,1781549891.070,133.62,ok,200
0,1781549891.213,86.86,ok,200
0,1781549891.357,128.19,ok,200
0,1781549891.499,95.81,ok,200
0,1781549891.642,138.63,ok,200
0,1781549891.784,107.76,ok,200
0,1781549891.928,157.17,ok,200
1,1781549892.097,98.80,ok,200
1,1781549892.265,125.51,ok,200
1,1781549892.431,65.47,ok,200
1,1781549892.598,90.66,ok,200
1,1781549892.765,124.87,ok,200
1,1781549892.931,65.17,ok,200
2,1781549893.103,85.81,ok,200
2,1781549893.247,129.61,ok,200
2,1781549893.390,100.52,ok,200
2,1781549893.532,137.84,ok,200
2,1781549893.675,117.93,ok,200
2,1781549893.818,162.66,ok,200
2,1781549893.961,130.56,ok,200
3,1781549894.104,166.84,ok,200
3,1781549894.271,121.60,ok,200
3,1781549894.437,146.07,ok,200
3,1781549894.605,87.08,ok,200
3,1781549894.772,116.97,ok,200
3,1781549894.938,154.48,ok,200
4,1781549895.108,88.92,ok,200
4,1781549895.252,139.38,ok,200
4,1781549895.394,101.50,ok,200
4,1781549895.538,147.71,ok,200
4,1781549895.681,115.10,ok,200
4,1781549895.824,162.41,ok,200
4,1781549895.967,129.46,ok,200
5,1781549896.111,181.04,ok,200
5,1781549896.237,244.45,ok,200
5,1781549896.362,231.52,ok,200
5,1781549896.486,295.19,ok,200
5,1781549896.612,285.02,ok,200
5,1781549896.737,349.13,ok,200
5,1781549896.862,330.96,ok,200
5,1781549896.987,396.34,ok,200
6,1781549897.401,170.55,ok,200
6,1781549897.545,144.69,ok,200
6,1781549897.687,190.55,ok,200
6,1781549897.830,161.29,ok,200
6,1781549897.973,206.94,ok,200
6,1781549898.116,176.48,ok,200
6,1781549898.259,135.96,ok,200
7,1781549898.411,175.46,ok,200
7,1781549898.554,138.93,ok,200
7,1781549898.697,191.46,ok,200
7,1781549898.840,230.52,ok,200
7,1781549898.983,211.04,ok,200
7,1781549899.126,265.13,ok,200
7,1781549899.269,225.08,ok,200
8,1781549899.510,174.26,ok,200
8,1781549899.653,148.27,ok,200
8,1781549899.797,194.53,ok,200
8,1781549899.940,242.10,ok,200
8,1781549900.082,212.41,ok,200
8,1781549900.225,258.98,ok,200
8,1781549900.368,226.77,ok,200
9,1781549900.609,174.70,ok,200
9,1781549900.736,157.99,ok,200
9,1781549900.860,225.02,ok,200
9,1781549900.985,208.19,ok,200
9,1781549901.111,276.73,ok,200
9,1781549901.236,258.24,ok,200
9,1781549901.360,325.18,ok,200
9,1781549901.485,316.80,ok,200
10,1781549901.817,170.71,ok,200
10,1781549901.985,193.99,ok,200
10,1781549902.152,138.33,ok,200
10,1781549902.318,149.85,ok,200
10,1781549902.485,104.54,ok,200
10,1781549902.652,127.85,ok,200
11,1781549902.820,69.36,ok,200
11,1781549902.932,137.40,ok,200
11,1781549903.043,139.70,ok,200
11,1781549903.155,140.48,ok,200
11,1781549903.265,220.23,ok,200
11,1781549903.377,215.62,ok,200
11,1781549903.487,296.58,ok,200
11,1781549903.599,302.22,ok,200
11,1781549903.710,375.58,ok,200
12,1781549904.103,91.55,ok,200
